Time,Unnamed: 1,Open,High,Low,Close,Volume
2004.03.26,00:00,1.212,1.2215,1.207,1.2123,10098
2004.03.29,00:00,1.2118,1.2171,1.2046,1.216,9788
2004.03.30,00:00,1.216,1.2229,1.2151,1.217,9929
2004.03.31,00:00,1.2173,1.2325,1.2169,1.2316,10323
2004.04.01,00:00,1.2314,1.2391,1.2253,1.2365,9917
2004.04.02,00:00,1.2364,1.2374,1.2102,1.2133,9852
2004.04.05,00:00,1.2112,1.2131,1.1983,1.2003,10435
2004.04.06,00:00,1.2002,1.2145,1.1979,1.2141,11402
2004.04.07,00:00,1.214,1.22,1.205,1.2172,9878
2004.04.08,00:00,1.2171,1.2221,1.2059,1.2083,9403
2004.04.09,00:00,1.2084,1.2116,1.2065,1.2091,6249
2004.04.12,00:00,1.2086,1.21,1.2054,1.2079,8144
2004.04.13,00:00,1.2081,1.2084,1.1904,1.1936,12215
2004.04.14,00:00,1.1936,1.1977,1.1868,1.1955,12550
2004.04.15,00:00,1.1954,1.1996,1.1892,1.1977,12978
2004.04.16,00:00,1.1978,1.2049,1.1922,1.1999,12302
2004.04.19,00:00,1.2016,1.2081,1.2001,1.2006,9174
2004.04.20,00:00,1.2006,1.2013,1.1841,1.185,9734
2004.04.21,00:00,1.1846,1.1917,1.1815,1.1835,9788
2004.04.22,00:00,1.1834,1.1917,1.1778,1.1909,9818
2004.04.23,00:00,1.1909,1.1945,1.1796,1.1843,9545
2004.04.26,00:00,1.1801,1.1886,1.1759,1.1862,8820
2004.04.27,00:00,1.186,1.1949,1.1832,1.1926,8941
2004.04.28,00:00,1.1926,1.1948,1.1822,1.1848,10287
2004.04.29,00:00,1.1851,1.1987,1.1803,1.1963,12926
2004.04.30,00:00,1.1963,1.2016,1.1917,1.1986,11827
2004.05.03,00:00,1.1995,1.2005,1.192,1.1941,11375
2004.05.04,00:00,1.1941,1.2123,1.1926,1.2105,11909
2004.05.05,00:00,1.211,1.2182,1.2096,1.2159,12750
2004.05.06,00:00,1.216,1.2177,1.2062,1.2071,13206
2004.05.07,00:00,1.2069,1.2148,1.1875,1.1893,12500
2004.05.10,00:00,1.1881,1.1898,1.1811,1.1827,12803
2004.05.11,00:00,1.1832,1.1893,1.1787,1.1865,12170
2004.05.12,00:00,1.1865,1.1945,1.1834,1.1907,12816
2004.05.13,00:00,1.1906,1.1933,1.177,1.1809,13318
2004.05.14,00:00,1.1806,1.1905,1.178,1.189,12011
2004.05.17,00:00,1.1891,1.2063,1.1878,1.2022,13199
2004.05.18,00:00,1.2019,1.2042,1.1928,1.1952,12794
2004.05.19,00:00,1.1951,1.2047,1.1936,1.2021,12932
2004.05.20,00:00,1.202,1.202,1.1894,1.1965,12897
2004.05.21,00:00,1.1962,1.2074,1.1952,1.1996,11965
2004.05.24,00:00,1.1993,1.2027,1.1932,1.201,12059
2004.05.25,00:00,1.2005,1.213,1.1985,1.2102,12696
2004.05.26,00:00,1.2102,1.2147,1.2077,1.2116,12777
2004.05.27,00:00,1.2115,1.2293,1.2087,1.2268,12973
2004.05.28,00:00,1.227,1.23,1.2201,1.2215,12362
